file_id,system_id,file_name,timezone,data_sampling_frequency,issue,subissue
128,2,1423_inv1_ac_power_60min_wrong_timezone.csv,Etc/GMT+8,60,Wrong Timezone,
129,2,1423_inv1_ac_power_30min_random_time_shifts.csv,Etc/GMT+8,30,Random Time Shifts,
130,2,1423_inv1_ac_power_15min_wrong_timezone.csv,Etc/GMT+8,15,Wrong Timezone,
131,2,1423_inv1_ac_power_full_DST.csv,Etc/GMT+8,1,Full DST,
132,2,1423_inv2_ac_power_60min_full_DST.csv,Etc/GMT+8,60,Full DST,
133,2,1423_inv2_ac_power_60min.csv,Etc/GMT+8,60,No Issue,
134,6,4901_InvPAC_kW_Avg_60min.csv,Etc/GMT+5,60,No Issue,
135,6,4901_InvPAC_kW_Avg_60min.csv,Etc/GMT+5,60,No Issue,
136,6,4901_InvPAC_kW_Avg_30min.csv,Etc/GMT+5,30,No Issue,
137,6,4901_InvPAC_kW_Avg_30min.csv,Etc/GMT+5,30,No Issue,
138,6,4901_InvPAC_kW_Avg_15min_random_time_shifts.csv,Etc/GMT+5,15,Random Time Shifts,
139,6,4901_InvPAC_kW_Avg_15min_random_time_shifts.csv,Etc/GMT+5,15,Random Time Shifts,
140,6,4901_InvPAC_kW_Avg.csv,Etc/GMT+5,1,No Issue,
141,6,4901_InvPAC_kW_Avg.csv,Etc/GMT+5,1,No Issue,
142,6,4901_InvPAC_kW_Avg_60min_random_time_shifts.csv,Etc/GMT+5,60,Random Time Shifts,
143,6,4901_InvPAC_kW_Avg_60min_random_time_shifts.csv,Etc/GMT+5,60,Random Time Shifts,
144,6,4901_InvPAC_kW_Avg_30min_full_DST.csv,Etc/GMT+5,30,Full DST,
145,6,4901_InvPAC_kW_Avg_30min_full_DST.csv,Etc/GMT+5,30,Full DST,
146,6,4901_InvPAC_kW_Avg_15min.csv,Etc/GMT+5,15,No Issue,
147,6,4901_InvPAC_kW_Avg_15min.csv,Etc/GMT+5,15,No Issue,
148,6,4901_InvPAC_kW_Avg_partial_DST.csv,Etc/GMT+5,1,Partial DST,
149,6,4901_InvPAC_kW_Avg_partial_DST.csv,Etc/GMT+5,1,Partial DST,
150,4,4902_ac_power_inv_14538_15min.csv,Etc/GMT+5,15,No Issue,
151,4,4902_ac_power_inv_14538_random_time_shifts.csv,Etc/GMT+5,1,Random Time Shifts,
152,4,4902_ac_power_inv_14538_15min_wrong_timezone.csv,Etc/GMT+5,15,Wrong Timezone,
153,4,4902_ac_power_inv_14538_30min_random_time_shifts.csv,Etc/GMT+5,30,Random Time Shifts,
154,4,4902_ac_power_inv_14538_60min_partial_DST.csv,Etc/GMT+5,60,Partial DST,
155,4,4902_ac_power_inv_14538_30min.csv,Etc/GMT+5,30,No Issue,
156,4,4902_ac_power_inv_14538.csv,Etc/GMT+5,1,No Issue,
157,4,4902_ac_power_inv_14538_60min.csv,Etc/GMT+5,60,No Issue,
158,5,4903_ac_power_inv_14539.csv,Etc/GMT+5,1,No Issue,
159,5,4903_ac_power_other_inv_14539_2_15min_partial_DST.csv,Etc/GMT+5,15,Partial DST,
160,5,4903_ac_power_other_inv_14539_2_random_time_shifts.csv,Etc/GMT+5,15,Random Time Shifts,
161,5,4903_ac_power_inv_14539_wrong_timezone.csv,Etc/GMT+5,1,Wrong Timezone,
162,5,4903_ac_power_other_inv_14539_2_30min_wrong_timezone.csv,Etc/GMT+5,30,Wrong Timezone,
163,5,4903_ac_power_inv_14539_30min_random_time_shifts.csv,Etc/GMT+5,30,Random Time Shifts,
164,5,4903_ac_power_inv_14539_60min_random_time_shifts.csv,Etc/GMT+5,60,Random Time Shifts,
165,5,4903_ac_power_other_inv_14539_2_60min.csv,Etc/GMT+5,60,No Issue,
166,5,4903_ac_power_other_inv_14539_2_30min.csv,Etc/GMT+5,30,No Issue,
167,5,4903_ac_power_other_inv_14539_2_15min.csv,Etc/GMT+5,15,No Issue,
168,5,4903_ac_power_other_inv_14539_2.csv,Etc/GMT+5,1,No Issue,
169,5,4903_ac_power_inv_14539_60min.csv,Etc/GMT+5,60,No Issue,
170,5,4903_ac_power_inv_14539_30min.csv,Etc/GMT+5,30,No Issue,
171,5,4903_ac_power_inv_14539_15min.csv,Etc/GMT+5,15,No Issue,
172,5,4903_ac_power_inv_14539_15min_random_time_shifts.csv,Etc/GMT+5,15,Random Time Shifts,
173,5,4903_ac_power_other_inv_14539_2_60min_wrong_timezone.csv,Etc/GMT+5,60,Wrong Timezone,
